,,,Boosted Trees,,,,,,
,,,Features,Precision,Recall,F1 Score,Specificity,Validation Accuracy,Testing Accuray
,,,,,,,,,
,,,12,89.63,88.32,88.97,88.62,88.5,88.6
,,,10,94.07,85.81,89.75,92.86,88.8,87.2
,,,8,93.38,88.81,91.04,92.31,90.4,87.6
,,,6,91.85,85.52,88.57,90.43,87.7,88.8
,,,4,92.59,89.29,90.91,91.67,90.4,87.2
,,,,,,,,,
,,,,,,,,,
,,,Bagged Trees,,,,,,
,,,Features,Precision,Recall,F1 Score,Specificity,Validation Accuracy,Testing Accuray
,,,,,,,,,
,,,12,91.11,87.86,89.45,90,88.8,88.6
,,,10,92.59,85.62,88.97,91.23,88.1,86.2
,,,8,88.24,88.24,88.24,87.1,87.7,88.6
,,,6,91.11,87.86,89.45,90,88.8,89.4
,,,4,90.37,88.41,89.38,89.34,88.8,85.2
,,,,,,,,,
,,,,,,,,,
,,,RUS Boosted Trees,,,,,,
,,,Features,Precision,Recall,F1 Score,Specificity,Validation Accuracy,Testing Accuray
,,,,,,,,,
,,,12,94.81,83.66,88.89,93.46,87.7,87
,,,10,90.37,85.92,88.09,88.98,87.3,86
,,,8,92.65,83.44,87.8,90.83,86.5,88
,,,6,93.33,85.14,89.05,91.96,88.1,88.2
,,,4,91.1,89.13,90.11,90.16,89.6,86.6
,,,,,,,,,
,,,,,,,,,
,,,Optimizable Ensemble,,,,,,
,,,Features,Precision,Recall,F1 Score,Specificity,Validation Accuracy,Testing Accuray
,,,,,,,,,
,,,12,91.85,88.57,90.18,90.83,89.6,88
,,,10,92.59,88.03,90.25,91.53,89.6,87.4
,,,8,91.91,88.03,89.93,90.68,89.2,88
,,,6,93.33,86.3,89.68,92.11,88.8,88.2
,,,4,91.85,91.85,91.85,90.52,89.6,84
